BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,PS,Personnel Services,795531,0,367766.28,367766.28
2017,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,QM,Supplies & Materials,65574,27286.02,185069.42,212355.44
2017,GNFD,General Fund,0001STS,Street Services GF,2.27,Mobility Planning,QV,Contractual & Other Services,576663,578.12,7689.42,8267.54
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,9.99,Department Support,QV,Contractual & Other Services,0,75.98,17729.09,17805.07
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,QV,Contractual & Other Services,1092228,97143.61,22792.51,119936.12
2016,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,QV,Contractual & Other Services,19216358,29452.21,21266946.26,21296398.47
2017,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,PS,Personnel Services,18176908,0,8403610.5,8403610.5
2017,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,QM,Supplies & Materials,98354,3285.13,60845.77,64130.9
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,PS,Personnel Services,9054467,0,3695078.31,3695078.31
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.01,Adjudication Office,QV,Contractual & Other Services,37856,17029.24,22560.43,39589.67
2017,OTHO,Other Operating Fund,0191DSV,9-1-1 System Operations,5.A,9-1-1 Technology/Education Services,QV,Contractual & Other Services,14323632,1039487.75,1062097.12,2101584.87
2017,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,PS,Personnel Services,5760532,0,2824921.58,2824921.58
2017,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,RE,Reimbursements,-763906,0,-392464.93,-392464.93
2017,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,QV,Contractual & Other Services,23773401,405207.62,9338842.32,9744049.94
2017,GNFD,General Fund,0001EBS,Building Services GF,2.0699999999999998,Capital Facilities,RE,Reimbursements,-954840,0,-134999.1,-134999.1
2016,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,QV,Contractual & Other Services,92810,0,254730.69,254730.69
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,QV,Contractual & Other Services,702729,0,1125772.91,1125772.91
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,QV,Contractual & Other Services,4979634,239262.51,1935184.7,2174447.21
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,PS,Personnel Services,14562541,175471.89,13765858.71,13941330.6
2017,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,QV,Contractual & Other Services,867510,10119.75,143446.35,153566.1
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,PS,Personnel Services,763301,0,251817.64,251817.64
2017,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,PS,Personnel Services,2333488,0,1077493.95,1077493.95
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,PS,Personnel Services,314945,0,126439.02,126439.02
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,PS,Personnel Services,15785659,0,7557369.2,7557369.2
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,PS,Personnel Services,6719118,0,2765535.18,2765535.18
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,RE,Reimbursements,-1434530,0,-12204.72,-12204.72
2017,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,QV,Contractual & Other Services,20046787,993862.08,3858068.86,4851930.94
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,PS,Personnel Services,1087659,0,251185.03,251185.03
2017,OTHO,Other Operating Fund,0286PER,Wellness Program Fund,5.R,Wellness Program,QV,Contractual & Other Services,13276,595,5240.7,5835.7
2017,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,PS,Personnel Services,1406998,0,611082.49,611082.49
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.0900000000000001,Fire and Rescue Emergency Response,QV,Contractual & Other Services,1624949,113232.68,202081.37,315314.05
2017,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,PS,Personnel Services,1191439,0,518770.56,518770.56
2017,GNFD,General Fund,0001EBS,Building Services GF,2.0699999999999998,Capital Facilities,QM,Supplies & Materials,10843,3967.05,7408.44,11375.49
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,PS,Personnel Services,2062327,0,993014.43,993014.43
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,QM,Supplies & Materials,483137,9009.58,59401.48,68411.06
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.5499999999999998,Zoning & Board of Adjustment,PS,Personnel Services,1538789,0,671815.96,671815.96
2017,GNFD,General Fund,0001STS,Street Services GF,2.27,Mobility Planning,QM,Supplies & Materials,6200,52,3428.95,3480.95
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,QV,Contractual & Other Services,727226,4163.21,38149.52,42312.73
2017,GNFD,General Fund,0001STS,Street Services GF,2.4300000000000002,Street Repair Division - Asphalt,QV,Contractual & Other Services,3649560,36489.67,2191939.49,2228429.16
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,QM,Supplies & Materials,204354,9988.39,111957.54,121945.93
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,PS,Personnel Services,13786084,0,5897160.77,5897160.77
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,RE,Reimbursements,-133017,0,-32223.59,-32223.59
2017,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,PS,Personnel Services,8561642,0,3847080.08,3847080.08
2017,GNFD,General Fund,0001TWM,Trinity Watershed Management GF,2.4900000000000002,Trinity River Corridor Operations,QM,Supplies & Materials,34551,29063.56,18612.91,47676.47
2017,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",PS,Personnel Services,2949953,0,1283348.46,1283348.46
2017,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,QV,Contractual & Other Services,0,9951.38,41555.86,51507.24
2017,GNFD,General Fund,0001EBS,Building Services GF,5.29,Energy Procurement and Monitoring,PS,Personnel Services,153106,0,78463.06,78463.06
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.03,Animal Remains Collection,QM,Supplies & Materials,55985,132,14382.24,14514.24
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,QV,Contractual & Other Services,295826,426.6,380876.98,381303.58
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.5,Union Station,QM,Supplies & Materials,356500,218.13,138788.21,139006.34
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.0199999999999996,Accounts Payable,PS,Personnel Services,868177,0,362689.07,362689.07
2017,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,PS,Personnel Services,3769864,0,1620518.53,1620518.53
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,QM,Supplies & Materials,3605312,809832.88,1525803.89,2335636.77
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,QM,Supplies & Materials,7302122,25179.96,8970258.22,8995438.18
2017,GNFD,General Fund,0001STS,Street Services GF,2.41,Street Cut and Right-of-Way Management (Cut Control),QV,Contractual & Other Services,87636,14896.65,26131.74,41028.39
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,RC,Capital Outlay,0,0,7195,7195
2017,GNFD,General Fund,0001STS,Street Services GF,2.2599999999999998,Interagency and Transportation Administration,QM,Supplies & Materials,10271,0,728.74,728.74
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,2.5099999999999998,Vendor Development,QV,Contractual & Other Services,18761,102.92,5409.99,5512.91
2017,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,QV,Contractual & Other Services,1878026,148954.47,756011.31,904965.78
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.0999999999999996,Boards and Commissions Support,QV,Contractual & Other Services,69504,0,7079.63,7079.63
2017,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,QV,Contractual & Other Services,1231485,32914.53,293010.4,325924.93
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.04,Community Court,RE,Reimbursements,-49957,0,-46862.1,-46862.1
2017,GNFD,General Fund,0001EMS,Mgmt Services - EMS Compliance,5.28,EMS Compliance Program,PS,Personnel Services,397280,0,140725.54,140725.54
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.H,Environmental Services for City Fleet Operations,PS,Personnel Services,443745,0,161654.17,161654.17
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,QM,Supplies & Materials,864143,16997.54,313258.78,330256.32
2016,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,QV,Contractual & Other Services,6224439,1262.41,8098056.58,8099318.99
2016,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,RE,Reimbursements,-9339000,0,-8831411.3,-8831411.3
2017,GNFD,General Fund,0001STS,Street Services GF,2.2599999999999998,Interagency and Transportation Administration,QV,Contractual & Other Services,124467,913.88,10313.9,11227.78
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,QV,Contractual & Other Services,1340502,24210.34,526579.86,550790.2
2017,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,PS,Personnel Services,2217744,0,752077.99,752077.99
2017,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,QV,Contractual & Other Services,202388,897.68,17104.24,18001.92
2016,GNFD,General Fund,0001TWM,Trinity Watershed Management GF,2.4900000000000002,Trinity River Corridor Operations,QV,Contractual & Other Services,432916,3142.5,310061.61,313204.11
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,PS,Personnel Services,1269981,0,849995.75,849995.75
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,PS,Personnel Services,8275617,0,3667011.09,3667011.09
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.18,City GIS Services,QM,Supplies & Materials,25975,0,7872.2,7872.2
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,QV,Contractual & Other Services,207354,0,270261.7,270261.7
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,QM,Supplies & Materials,3266340,115677.7,3473699.83,3589377.53
2017,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,RE,Reimbursements,-244887,0,-179560.31,-179560.31
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,PS,Personnel Services,3198345,0,1380575.9,1380575.9
2017,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,QM,Supplies & Materials,5038740,917778.8,2310399.33,3228178.13
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,QV,Contractual & Other Services,12747767,1257622.75,2248227.68,3505850.43
2017,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,RE,Reimbursements,-8025000,0,4830.6,4830.6
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,2.1800000000000002,Fire Inspection for New Construction,QV,Contractual & Other Services,62267,775,33709.76,34484.76
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,PS,Personnel Services,11095540,882.83,5397900.16,5398782.99
2017,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,PS,Personnel Services,13603253,0,6139059.49,6139059.49
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,QM,Supplies & Materials,4029579,50520.29,1486049.61,1536569.9
2017,GNFD,General Fund,0001ADM,Mgmt Services - Admin,5.01,311 Customer Service Center,QV,Contractual & Other Services,1700,103.39,1195.27,1298.66
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,QM,Supplies & Materials,22277,2963.26,15023.48,17986.74
2017,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,QM,Supplies & Materials,108446,3807.21,10750.29,14557.5
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.52,Utility Management,PS,Personnel Services,136103,0,65773.96,65773.96
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,QV,Contractual & Other Services,6909099,2004.07,9694534.2,9696538.27
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.18,Municipal Judges/Cases Docketed,QV,Contractual & Other Services,205479,0,189284.38,189284.38
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.46,Non-Departmental,QV,Contractual & Other Services,0,0,0,0
2017,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,QV,Contractual & Other Services,1981486,92576.27,726828.53,819404.8
2017,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,QV,Contractual & Other Services,1166601,9971.77,693467.44,703439.21
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,QV,Contractual & Other Services,8372779,409340.31,3418028.57,3827368.88
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.0199999999999996,City-Owned Cultural Venues,PS,Personnel Services,3144315,0,1454455.51,1454455.51
2017,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,QM,Supplies & Materials,12769,0,12142.54,12142.54
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,QM,Supplies & Materials,731444,44773.5,307007.29,351780.79
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,PS,Personnel Services,484393,0,333536.69,333536.69
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,QV,Contractual & Other Services,0,24903.28,28010.31,52913.59
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,QV,Contractual & Other Services,68456,6000,107033.73,113033.73
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,QV,Contractual & Other Services,90735,0,50826.86,50826.86
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,QM,Supplies & Materials,10488,0,134.47,134.47
2017,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,QV,Contractual & Other Services,474628,10074.16,77982.76,88056.92
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.5,Records Management,PS,Personnel Services,273967,0,139657.72,139657.72
2017,GNFD,General Fund,0001EBS,Building Services GF,2.0299999999999998,Bullington Truck Terminal and Thanksgiving Square,QM,Supplies & Materials,164064,4050.75,104841.04,108891.79
2017,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,PS,Personnel Services,877685,0,340713.08,340713.08
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,QV,Contractual & Other Services,45731683,3239903.68,43883093.05,47122996.73
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,QM,Supplies & Materials,2450,0,2601.12,2601.12
2017,GNFD,General Fund,0001CRO,Mgmt Services - Resiliency Office,2.37,Resiliency Office,QV,Contractual & Other Services,6778,0,2691.24,2691.24
2017,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.01,Air Quality Compliance,QM,Supplies & Materials,29555,2601,6700.61,9301.61
